task_id,mountain_id,mountain_key,region_id,product,state,error_message,description,destination,configuration_hash
PLR76VGXED4RY3QPWICRG5NB,11237,gmba_11237,R7_ANDES,treeline30m,FAILED,Object too large (122708960 bytes).,treeline_gmba_gmba_v3_gmba_11237_treeline30m_1656e99394,projects/ee-alpine-506212/assets/Treeline_30m_Collection/gmba_11237_zero-crossing_none_h3m_h5m_gmba_v3_1656e99394,1656e993948e1200b1a794b08dc749424e748d4e4898d44092cc68ddca9ee303
3XGECAIVNKPI4JQDNXD6VB6J,11237,gmba_11237,R7_ANDES,treeline1km,FAILED,Object too large (122708960 bytes).,treeline_gmba_gmba_v3_gmba_11237_treeline1km_1656e99394,projects/ee-alpine-506212/assets/Treeline_1km_Collection/gmba_11237_zero-crossing_none_h3m_h5m_gmba_v3_1656e99394,1656e993948e1200b1a794b08dc749424e748d4e4898d44092cc68ddca9ee303
WFUO4QUZGZOMOSUSOW3VBRPK,11237,gmba_11237,R7_ANDES,qa30m,FAILED,Object too large (122708960 bytes).,treeline_gmba_gmba_v3_gmba_11237_qa30m_1656e99394,projects/ee-alpine-506212/assets/Treeline_QA30m_Collection/gmba_11237_zero-crossing_none_h3m_h5m_gmba_v3_1656e99394,1656e993948e1200b1a794b08dc749424e748d4e4898d44092cc68ddca9ee303
AMEMRFACUBWJMKHPAPVTA53R,11247,gmba_11247,R7_ANDES,treeline30m,FAILED,Object too large (125210848 bytes).,treeline_gmba_gmba_v3_gmba_11247_treeline30m_1656e99394,projects/ee-alpine-506212/assets/Treeline_30m_Collection/gmba_11247_zero-crossing_none_h3m_h5m_gmba_v3_1656e99394,1656e993948e1200b1a794b08dc749424e748d4e4898d44092cc68ddca9ee303
6AL545FXBBHPJYAGVH7A7YSX,11247,gmba_11247,R7_ANDES,treeline1km,FAILED,Object too large (125210848 bytes).,treeline_gmba_gmba_v3_gmba_11247_treeline1km_1656e99394,projects/ee-alpine-506212/assets/Treeline_1km_Collection/gmba_11247_zero-crossing_none_h3m_h5m_gmba_v3_1656e99394,1656e993948e1200b1a794b08dc749424e748d4e4898d44092cc68ddca9ee303
6U72XUQE4LXNBX6DDJIFY24F,11247,gmba_11247,R7_ANDES,qa30m,FAILED,Object too large (125210848 bytes).,treeline_gmba_gmba_v3_gmba_11247_qa30m_1656e99394,projects/ee-alpine-506212/assets/Treeline_QA30m_Collection/gmba_11247_zero-crossing_none_h3m_h5m_gmba_v3_1656e99394,1656e993948e1200b1a794b08dc749424e748d4e4898d44092cc68ddca9ee303
J6OTEYIYWGH5REWJUTMKFHD4,11255,gmba_11255,R7_ANDES,treeline30m,FAILED,Object too large (135451648 bytes).,treeline_gmba_gmba_v3_gmba_11255_treeline30m_1656e99394,projects/ee-alpine-506212/assets/Treeline_30m_Collection/gmba_11255_zero-crossing_none_h3m_h5m_gmba_v3_1656e99394,1656e993948e1200b1a794b08dc749424e748d4e4898d44092cc68ddca9ee303
M5532FJEOPSHHB3B2DF2772F,11255,gmba_11255,R7_ANDES,treeline1km,FAILED,Object too large (135451648 bytes).,treeline_gmba_gmba_v3_gmba_11255_treeline1km_1656e99394,projects/ee-alpine-506212/assets/Treeline_1km_Collection/gmba_11255_zero-crossing_none_h3m_h5m_gmba_v3_1656e99394,1656e993948e1200b1a794b08dc749424e748d4e4898d44092cc68ddca9ee303
P7LJQ3H3YKIGEIHWCWVQWTYU,11255,gmba_11255,R7_ANDES,qa30m,FAILED,Object too large (135451648 bytes).,treeline_gmba_gmba_v3_gmba_11255_qa30m_1656e99394,projects/ee-alpine-506212/assets/Treeline_QA30m_Collection/gmba_11255_zero-crossing_none_h3m_h5m_gmba_v3_1656e99394,1656e993948e1200b1a794b08dc749424e748d4e4898d44092cc68ddca9ee303
UPQTOOGMWURYS6D7PZXBDAQF,11259,gmba_11259,R7_ANDES,treeline30m,FAILED,Object too large (195758760 bytes).,treeline_gmba_gmba_v3_gmba_11259_treeline30m_1656e99394,projects/ee-alpine-506212/assets/Treeline_30m_Collection/gmba_11259_zero-crossing_none_h3m_h5m_gmba_v3_1656e99394,1656e993948e1200b1a794b08dc749424e748d4e4898d44092cc68ddca9ee303
UCKKX3ZQGHDGBIGUOBVMAKMK,11259,gmba_11259,R7_ANDES,treeline1km,FAILED,Object too large (195735824 bytes).,treeline_gmba_gmba_v3_gmba_11259_treeline1km_1656e99394,projects/ee-alpine-506212/assets/Treeline_1km_Collection/gmba_11259_zero-crossing_none_h3m_h5m_gmba_v3_1656e99394,1656e993948e1200b1a794b08dc749424e748d4e4898d44092cc68ddca9ee303
STDGQZCUXXO6LMFBOQSJ5TIR,11259,gmba_11259,R7_ANDES,qa30m,FAILED,Object too large (195758760 bytes).,treeline_gmba_gmba_v3_gmba_11259_qa30m_1656e99394,projects/ee-alpine-506212/assets/Treeline_QA30m_Collection/gmba_11259_zero-crossing_none_h3m_h5m_gmba_v3_1656e99394,1656e993948e1200b1a794b08dc749424e748d4e4898d44092cc68ddca9ee303
